Category,Code,Code_Description
ActorCode,10,character
ArenaType,0,none
ArenaType,1,normal
ArenaType,2,guild combat
ArenaType,3,sparring
ArenaType,4,unrated match
ArenaType,5,championship
AuctionTypeCode,0,none
AuctionTypeCode,1,auction
AuctionTypeCode,2,buy-it-now
ChallengeTypeCode,1,ChallengeToday
ChallengeTypeCode,2,non-Challenge
ChallengeTypeCode,3,ChallengeWeek
ChangeItemLookCode,1,change
ChangeItemLookCode,2,Re-change
ChangeItemLookCode,3,remove
CharacterDeleteCode,0,none
CharacterDeleteCode,1,request
CharacterDeleteCode,2,complete
DistributionCode,0,none
DistributionCode,3,OverItemGradeRefined
DistributionCode,4,OverItemGradeSuperior
DistributionCode,5,OverItemGradeHeroic
DistributionCode,6,OverItemGradeLegendary
DuelResultCode,0,none
DuelResultCode,1,Win
DuelResultCode,2,Lose
DuelResultCode,3,"tie, draw"
DuelResultCode,4,Disconnected
DuelTypeCode,0,none
DuelTypeCode,1,death-match-1vs1
DuelTypeCode,4,tag-match-3vs3
DuelTypeCode,5,unrated-death-match-1vs1
DuelTypeCode,6,unrated-tag-match-3vs3
EnterZoneReasonCode,0,none
EnterZoneReasonCode,1,enter-world
EnterZoneReasonCode,2,zone-transit
EnterZoneReasonCode,3,revive
EnterZoneReasonCode,4,npc-spawn
EnterZoneReasonCode,5,return
EnterZoneReasonCode,6,ReturnFromArena
EnterZoneReasonCode,7,EnterArena
EnterZoneReasonCode,8,EnterHongmoonTraining
EntityCode,0,none
EntityCode,20,item
EntityCode,21,money
EntityCode,24,faction-score
EntityCode,25,duel-point
EntityCode,26,party-battle-point
EntityCode,27,field-play-point
EntityCode,30,npc
EntityCode,33,summoned
EntityCode,40,skill
EntityCode,50,quest
EntityCode,63,faction-coin
EntityCode,64,guild
EntityCode,76,teleport
EntityCode,79,duel
EntityCode,80,Battle
ExpReasonCode,0,none
ExpReasonCode,1,kill-npc
ExpReasonCode,2,quest
ExpReasonCode,3,builder
ExpReasonCode,4,debug-command
ExpReasonCode,5,duel
ExpReasonCode,6,party-battle
ExpReasonCode,7,use item
EXPTypeCode,0,none
EXPTypeCode,1,main-faction-reputation
EXPTypeCode,2,gathering-exp
EXPTypeCode,3,production-exp
Faction2Code,0,none
Faction2Code,9,Hongmoon
Faction2Code,10,Dark
FactionCode,0,none
FactionCode,1,faction-main1
FactionCode,2,faction-main2
GenderCode,1,male
GenderCode,2,female
GeoZoneTypeCode,0,none
GeoZoneTypeCode,101,ViridianCoast
GeoZoneTypeCode,102,Cinderlands
GeoZoneTypeCode,103,MoonwaterPlains
GeoZoneTypeCode,104,SilverfrostMountains
GeoZoneTypeCode,105,KhandaVihar
GeoZoneTypeCode,106,GunwonCity
GeoZoneTypeCode,107,Seolak
GeoZoneTypeCode,108,Heaven'sReach
GeoZoneTypeCode,109,Heaven'sReach_event
GeoZoneTypeCode,110,InterserverSquare
GeoZoneTypeCode,111,HongmoonTrainingRoom
GeoZoneTypeCode,112,Arena
GetLootMoneyCode,1,Solo
GetLootMoneyCode,2,Party
GetLootMoneyCode,3,Team
GetMoneyReasonCode,100,None
GetMoneyReasonCode,101,GetLootMoney
GetMoneyReasonCode,102,GetMoneyPostUnknown
GetMoneyReasonCode,103,GetMoneyPostFromUser
GetMoneyReasonCode,104,GetMoneyPostFromTool
GetMoneyReasonCode,105,GetMoneyPostGathering
GetMoneyReasonCode,106,GetMoneyPostProduction
GetMoneyReasonCode,107,GetMoneyPostSaleSuccess
GetMoneyReasonCode,108,GetMoneyPostBidLoser
GetMoneyReasonCode,109,GetMoneyPostBidAbandonment
GetMoneyReasonCode,110,ReceiveExpressPostFail
GetMoneyReasonCode,111,ProductionFail
GetMoneyReasonCode,112,CreateGuildFail
GetMoneyReasonCode,114,DepositMoneyInGuildBankFail
GetMoneyReasonCode,116,DebugCommandSetMoney
GetMoneyReasonCode,146,ChangeWeaponAppearanceFail
GetMoneyReasonCode,151,TradeGetMoney
GetMoneyReasonCode,152,SellItem
GetMoneyReasonCode,161,QuestReward
GetMoneyReasonCode,165,CompleteChallengeToday
GetMoneyReasonCode,168,DistributePartyAuctionMiscarriedMoney
GetMoneyReasonCode,169,DistributePartyAuctionSoldMoney
GetMoneyReasonCode,171,PutMainAuctionFail
GetMoneyReasonCode,172,BidMainAuctionFail
GetMoneyReasonCode,173,RebidMarketSaleFail
GetMoneyReasonCode,174,BuyItemNowMainAuctionFail
GetMoneyReasonCode,176,take-rollback-by-fail-refresh-simple-quest-pack
GuildTypeCode,0,none
GuildTypeCode,1,exclusive
GuildTypeCode,2,open
InventoryCode,0,none
InventoryCode,1,inventory
InventoryCode,2,character
InventoryCode,5,wardrobe
ItemAbilityCode,0,none
ItemAbilityCode,2,defend-power-equip-value
ItemAbilityCode,5,attack-hit-value
ItemAbilityCode,7,attack-critical-value
ItemAbilityCode,9,defend-critical-value
ItemAbilityCode,11,defend-dodge-value
ItemAbilityCode,13,defend-parry-value
ItemAbilityCode,27,hp-regen
ItemAbilityCode,28,hp-regen-combat
ItemAbilityCode,29,attack-pierce-value
ItemAbilityCode,30,attack-concentrate-value
ItemAbilityCode,31,defend-perfect-parry-reduce-percent
ItemAbilityCode,32,defend-counter-reduce-percent
ItemAbilityCode,33,attack-critical-damage-percent
ItemGradeCode,0,none
ItemGradeCode,1,item-grade-1
ItemGradeCode,2,item-grade-2
ItemGradeCode,3,item-grade-3
ItemGradeCode,4,item-grade-4
ItemGradeCode,5,item-grade-5
ItemGradeCode,6,item-grade-6
ItemGradeCode,7,item-grade-7
ItemGradeCode,8,item-grade-8
ItemTypeCode,101,accessory
ItemTypeCode,102,box
ItemTypeCode,103,consumable
ItemTypeCode,104,dress
ItemTypeCode,105,exchange
ItemTypeCode,106,gem
ItemTypeCode,107,production
ItemTypeCode,108,soulshield
ItemTypeCode,109,weapon
ItemTypeCode,110,undefined
Job,1,blade-master
Job,2,kung-fu-fighter
Job,3,force-master
Job,5,destroyer
Job,6,summoner
Job,7,assassin
Job,8,Lyn-blade-master
Job,9,Warlock
Job,10,SoulFighter
JoinPartyCode,0,none
JoinPartyCode,1,Normal
JoinPartyCode,2,MaintainSession (Reconnect)
JoinPartyCode,3,Recruitment
JoinPartyCode,4,MoveParty
KickPartyMemberCode,1,KickByDelegate
KickPartyMemberCode,2,KickByVote
LeaveZoneReasonCode,0,none
LeaveZoneReasonCode,1,leave-world
LeaveZoneReasonCode,2,portal
LeaveZoneReasonCode,3,decompose
LeaveZoneReasonCode,4,return
LeaveZoneReasonCode,5,teleport
LeaveZoneReasonCode,6,script
LeaveZoneReasonCode,7,change-channel
LeaveZoneReasonCode,8,GoToArenaLobby
LeaveZoneReasonCode,9,LeaveArena
LeaveZoneReasonCode,12,SummonedByGuildmember
LeaveZoneReasonCode,13,TeleportToGuildmember
LeaveZoneReasonCode,14,LeaveHongmoonTraining
LeaveZoneReasonCode,15,GoToHongmoonTraining
LoginTypeCode,0,none
LoginTypeCode,1,normal
LoginTypeCode,2,ReturnFromArena
LoginTypeCode,3,EnterArena
LogoutTypeCode,0,normal
LogoutTypeCode,4,Kick_By_System
LogoutTypeCode,5,GoToArenaLobby
LogoutTypeCode,6,LeaveArena
LootingCode,0,free
LootingCode,1,sequence
LootingCode,2,delegate
MarketTypeCode,0,none
MarketTypeCode,1,npc
MarketTypeCode,2,Express
MaxPartyMemberCode,0,none
MaxPartyMemberCode,4,Party_4Actor
MaxPartyMemberCode,6,Party_6Actor
MaxPartyMemberCode,11,Normal
MaxPartyMemberCode,12,Hard
MaxPartyMemberCode,13,Extreme
NewbieNPCReward,0,no Newbie Reward
NewbieNPCReward,1,yes Newbie Reward
NewbieQuestReward,0,none
NewbieQuestReward,1,OLDBIE
NewbieQuestReward,2,NEWBIE
ObjectCode,0,none
ObjectCode,1,pc
ObjectCode,2,npc
ObjectCode,3,other
ObjectCode,4,env
ObjectCode,5,summon
PartyAuctionResultCode,0,none
PartyAuctionResultCode,1,successful-bid
PartyAuctionResultCode,2,failed-bid
PartyBattleResultCode,0,draw
PartyBattleResultCode,1,Win
PartyBattleResultCode,2,Lose
PartyBattleResultCode,3,tie
PartyBattleResultCode,4,Disconnected
PartyBattleResultReason,0,draw
PartyBattleResultReason,1,Disconnected
PartyBattleResultReason,2,tie
PartyBattleResultReason,3,Score achieved - 1st team Win
PartyBattleResultReason,4,Score achieved - 2nd team Win
PartyBattleResultReason,5,win by decision - 1st team Win
PartyBattleResultReason,6,win by decision - 2nd team Win
PartyBattleResultReason,7,draw for no contributed pc
PartyBattleResultReason,8,GadgetPreemption - 1st team Win
PartyBattleResultReason,9,GadgetPreemption - 2nd team Win
PartyBattleTypeCode,0,none
PartyBattleTypeCode,1,occupation-war 
PartyBattleTypeCode,2,FlagStrike
PouchCode,2,npcpouch
QuestTypeCode,0,none
QuestTypeCode,10,epic
QuestTypeCode,20,side
QuestTypeCode,30,daily
QuestTypeCode,40,training
QuestTypeCode,50,faction
QuestTypeCode,60,dailyfaction
QuestTypeCode,70,attraction
RaceCode,0,none
RaceCode,1,kun
RaceCode,2,gon
RaceCode,3,lyn
RaceCode,4,jin
RepairItemCode,0,none
RepairItemCode,1,npc
RepairItemCode,2,item
RepairItemCode,3,env
ResurrectReasonCode,0,none
ResurrectReasonCode,1,complete-self-revival
ResurrectReasonCode,2,resurrect-by-myself
ResurrectReasonCode,3,resurrect-by-other
ResurrectReasonCode,4,complete-help-self-revival
ResurrectReasonCode,5,resurrect-unequiped
ServerTypeCode,0,none
ServerTypeCode,1,DualServer
ServerTypeCode,2,DungeonServer
SpendMoneyReasonCode,500,None
SpendMoneyReasonCode,502,SendPost
SpendMoneyReasonCode,505,LeaveUnknown
SpendMoneyReasonCode,506,LeaveTeleport
SpendMoneyReasonCode,507,LeaveWarpToGuildMember
SpendMoneyReasonCode,510,ReceiveExpressPostTry
SpendMoneyReasonCode,511,ProductionTry
SpendMoneyReasonCode,512,CreateGuildTry
SpendMoneyReasonCode,513,CallGuildMember
SpendMoneyReasonCode,514,DepositMoneyInGuildBankTry
SpendMoneyReasonCode,515,ExpandUnknown
SpendMoneyReasonCode,516,ExpandInventory
SpendMoneyReasonCode,517,ExpandDepository
SpendMoneyReasonCode,518,ExpandWardrobe
SpendMoneyReasonCode,519,AddTrainingPage
SpendMoneyReasonCode,520,ChangeMainFaction
SpendMoneyReasonCode,521,RepairItem
SpendMoneyReasonCode,522,GrowUpItem
SpendMoneyReasonCode,523,TransformItem
SpendMoneyReasonCode,524,ExceedLimitItem
SpendMoneyReasonCode,525,DecomposeItem
SpendMoneyReasonCode,531,DetachGemFromWeapon
SpendMoneyReasonCode,532,ExpandGemSlot
SpendMoneyReasonCode,536,PickGemCard
SpendMoneyReasonCode,537,RevealItem
SpendMoneyReasonCode,541,CustomizeSummoned
SpendMoneyReasonCode,542,ChangeSummonedName
SpendMoneyReasonCode,546,ChangeWeaponAppearanceTry
SpendMoneyReasonCode,550,RestoreExperience
SpendMoneyReasonCode,551,TradeGiveMoney
SpendMoneyReasonCode,552,BuyItem
SpendMoneyReasonCode,553,GivePointToNpc
SpendMoneyReasonCode,554,GivePointToMysteriousNpc
SpendMoneyReasonCode,555,BuyBack
SpendMoneyReasonCode,556,LotRandomStore
SpendMoneyReasonCode,557,BuyRandomStoreItem
SpendMoneyReasonCode,558,AcquireQuestWithFee
SpendMoneyReasonCode,559,ProgressCaseWithFee
SpendMoneyReasonCode,560,ProgressMissionWithFee
SpendMoneyReasonCode,561,AcquireQuest
SpendMoneyReasonCode,562,ProgressCase
SpendMoneyReasonCode,563,ResetQuest
SpendMoneyReasonCode,564,ProgressMission
SpendMoneyReasonCode,566,ProgressDungeon
SpendMoneyReasonCode,567,PartyAuctionSuccess
SpendMoneyReasonCode,568,UnbindRaidDungeon
SpendMoneyReasonCode,571,PutMainAuctionTry
SpendMoneyReasonCode,572,BidMainAuctionTry
SpendMoneyReasonCode,573,RebidMainAuctionTry
SpendMoneyReasonCode,574,BuyItemNowMainAuctionTry
SpendMoneyReasonCode,575,AuctionEscrow
SpendMoneyReasonCode,576,use-refresh-simple-quest-pack
SuccessOrFailCode,0,none
SuccessOrFailCode,1,success
SuccessOrFailCode,2,fail
TargetCode,0,none
TargetCode,10,character
TargetCode,30,npc
TargetCode,50,quest
TargetCode,51,Challenge Today
TargetCode,54,Challenge Week
TargetCode,71,zone
ZoneTypeCode,0,none
ZoneTypeCode,1,Baekmu
ZoneTypeCode,6,single
ZoneTypeCode,7,Instant
ZoneTypeCode,8,Dungeon
ZoneTypeCode,9,Arena
ZoneTypeCode,10,Single-Dungeon
ZoneTypeCode,11,Duel
